Country/Region,Region,Measure,Avg_Value,Date Range
Aruba,The Americas,Birth Rate,1.20769230769231e-02,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Business Tax Rate,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,CO2 Emissions,2277.27272727273,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Days to Start Business,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Ease of Business,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Energy Usage,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,GDP,2308638268.25,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Health Exp % GDP,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Health Exp/Capita,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Hours to do Tax,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Infant Mortality Rate,,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Internet Usage,0.380307692307692,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Lending Interest,0.112153846153846,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Life Expectancy Female,76.8461538461538,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Life Expectancy Male,72,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Mobile Phone Usage,0.950916666666667,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Population 0-14,0.215153846153846,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Population 15-64,0.694,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Population 65+,9.06923076923077e-02,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Population Total,98866.0769230769,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Population Urban,0.445153846153846,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Tourism Inbound,1108076923.07692,Data between 2000 and 2012 for Aruba in The Americas.
Aruba,The Americas,Tourism Outbound,238461538.461538,Data between 2000 and 2012 for Aruba in The Americas.
Australia,Oceania,Birth Rate,1.33846153846154e-02,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Business Tax Rate,0.491,Data between 2000 and 2012 for Australia in Oceania.
